A1,A2,A3,A4,A5,A6,A7,A8i,A8ii,A8iii,A9,A10,A11,A12,A13i,A13ii,A14a,A14b,A14c,A14d,A14eii,A15,A16i,A16ii,A16iii,A17,A18i,A18ii,A18iii,A19,A20,A21ai,A21aii,A21bi,A21bii,duration,category
Male,Married,46,Animal Science,Agric and Forestry,2003,2012,10,0,10,1,Reader,Yes,14,Yes,Immense support,Yes,2005,Full employment,Academic/Research,Ogun,Yes,Yes,Helped with the Ph.D. proposal,NA,Plesant,Most Cordial,Informal,Most Sup,Academic Enrichment,,Olabisi Onabanjo University,2001,University of Ibadan,2003,9,1
Male,Married,47,Industrial and Production Engineering,Agric and Forestry,2002,2012,14,2,16,2,Professor,Yes,21,Yes,Immense support,Yes,1994,Full employment,Academic/Research,,Yes,Yes,Course work/Lecturers,NA,Very Plesant,Most Cordial,Formal,Most Sup,Knowledge Enriching,Bureacracy of PG School,University of Maiduguri,1987,University of Ibadan,1994,10,1
Male,Married,45,Animal Science,Agric and Forestry,1997,2012,2,18,20,1,Professor,No,6,No,NA,Yes,1994,Full employment,Academic/Research,Lagos,Yes,No,NA,Extra Journey,Most Plesant,Most Cordial,Formal,Most Sup,Academic Enrichment,,Olabisi Onabanjo University,1992,University of Ibadan,1992,15,1
Male,Married,47,Animal Science,Agric and Forestry,2003,2012,3,4,7,1,Professor,Yes,14,No,NA,Yes,2008,Full employment,Academic/Research,Nasarawa,Yes,Yes,Helped with the Ph.D. proposal,NA,Plesant,Most Cordial,Formal,Most Sup,Development of independent thoughts,Mandatory Length of time,"University of Nigeria, Nnsuka",1991,University of Lagos,2002,9,1
Male,Married,42,Agricultural Economics,Agric and Forestry,2001,2012,14,2,16,3,Professor,Yes,10,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Oyo,Yes,Yes,Better Exposure,NA,Most Plesant,Most Cordial,Very inf,Most Sup,Development of independent thoughts,Mandatory Length of time,OAU,1994,University of Lagos,1999,11,1
Male,Married,47,Forestry Resources Management,Agric and Forestry,2002,2012,12,2,14,1,Reader,Yes,18,Yes,Moral and Financial support from spouse,Yes,2005,Full employment,Academic/Research,Osun,Yes,Yes,Helped with the Ph.D. proposal,NA,Plesant,Most Cordial,Informal,Very Sup,Knowledge Enriching,,University of Ibadan,1992,University of Ibadan,2001,10,1
Male,Married,54,Agricultural Economics,Agric and Forestry,2002,2012,14,4,18,1,Senior lecturer,Yes,22,Yes,Moral and Financial support from spouse,Yes,1986,Full employment,Academic/Research,Benue,Yes,Yes,Better Exposure,NA,Very Plesant,Most Cordial,Informal,Supporti,Seminar aspect of the programme,,"ABU, zaria",1983,University of Ibadan,1992,10,1
Female,Married,43,Agricultural Economics,Agric and Forestry,2000,2012,2,16,18,1,Professor,Yes,12,Yes,Immense support,Yes,1999,Full employment,Academic/Research,Oyo,Yes,Yes,Helped with the Ph.D. proposal,NA,Very Plesant,Cordial,Formal,Supporti,Academic Enrichment,Mandatory Length of time,LAUTECH,1996,University of Ibadan,1999,12,1
Female,Married,39,Animal Science,Agric and Forestry,2002,2012,10,4,14,1,Professor,Yes,15,Yes,Centered fully on my studies,No,NA,NA,NA,NA,Yes,Yes,Helped with the Ph.D. proposal,NA,Plesant,Very Cordial,Informal,Very Sup,Broaden my research horizon,Immunity against strike action,University of Ibadan,1996,University of Ibadan,1999,10,1
Male,Married,40,Agricultural Economics,Agric and Forestry,2001,2012,14,2,16,3,Senior lecturer,No,4,Yes,Immense support,No,,Self employment,Non academic/Administration,Oyo,Yes,Yes,Better Exposure,NA,Very Plesant,Most Cordial,Formal,Very Sup,Knowledge Enriching,Mandatory Length of time,OAU,1994,University of Ibadan,1997,11,1
Female,Single,37,Agricultural Economics,Agric and Forestry,2005,2012,0,10,10,1,Reader,No,,Yes,Moral and Financial support from spouse,Yes,2011,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Plesant,Most Cordial,Informal,Most Sup,Development of independent thoughts,PG school should be involved more in monitoring the progress of the student,LAUTECH,2001,University of Ibadan,2005,7,1
Male,Married,46,Agricultural Economics,Agric and Forestry,2006,2012,0,8,8,1,Reader,Yes,10,Yes,Immense support,Yes,2006,Full employment,Academic/Research,Edo,No,NA,NA,NA,Most Plesant,Most Cordial,Formal,Most Sup,Development of independent thoughts,Bureacracy of PG School,Ambrose Ali University,1997,University of Ibadan,2004,6,0
Male,Married,43,Agricultural Economics,Agric and Forestry,2005,2012,0,12,12,1,Professor,Yes,8,Yes,Moral and Financial support from spouse,Yes,2008,Full employment,Academic/Research,FCT,No,NA,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Quite Challenging,Mandatory Length of time,University of Calabar,1990,University of Ibadan,2004,7,1
Male,Married,42,Agricultural Economics,Agric and Forestry,2001,2012,16,0,16,1,Reader,No,7,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Edo,No,NA,NA,NA,Very Plesant,Very Cordial,Informal,Most Sup,Broaden my research horizon,Increase the number of Doctoral Students intake,University of Ibadan,1995,University of Ibadan,1998,11,1
Male,Married,44,Industrial and Production Engineering,Agric and Forestry,2001,2012,0,8,8,1,Reader,Yes,16,Yes,Immense support,Yes,2005,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Plesant,Very Cordial,,NA,Knowledge Enriching,,University of Ibadan,1991,University of Ibadan,2000,11,1
Male,Married,41,Agricultural Economics,Agric and Forestry,2007,2012,0,8,8,1,Professor,Yes,11,Yes,Immense support,Yes,2011,Full employment,Academic/Research,,No,NA,NA,NA,Very Plesant,Most Cordial,Formal,Very Sup,Academic Enrichment,Mandatory Length of time,University of Ibadan,1997,University of Ibadan,2005,5,0
